Frequency (MHz),Call Sign,Service Code,Licensee Name,Phone Number,Latitude,Longitude,Licensee Provided Details,Power ERP (W),Power Out (W),Distance (miles),Computed Power (dBm)
99.3,WHKF,FM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.19,-76.87,Language: English,1.35,0,89.42,-122.931
99.3,WVBX,FM,ALPHA MEDIA LICENSEE LLC,(703) 201-6610,38.14,-77.69,Language: English,3,0,64.41,-115.544
99.5,W258DA,FX,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.63,-77.71,,0.05,0,62.6,-133.003
99.5,WIHT,FM,"AMFM RADIO LICENSES, L.L.C.",(918) 664-4581,38.96,-77.10,Language: English,22,0,6.67,-79.828
99.7,W259BU,FX,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,,39.94,-76.70,,0.02,0,73.63,-139.161
99.9,W260BM,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,38.98,-76.52,,0.01,0,26.7,-128.712
99.9,W260BV,FX,"M-10 BROADCASTING, INC.",,39.44,-76.36,,0.22,0,50.92,-124.137
99.9,W260CC,FX,"WITF, INC.",,40.04,-76.31,,0.04,0,86.97,-138.157
99.9,W260DD,FX,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,40.07,-77.44,,0.06,0,84.28,-136.177
99.9,WFRE,FM,"CONNOISSEUR MEDIA LICENSES, LLC",(918) 664-4581,39.50,-77.50,EAS type: LP-1; Language: English,7.6,0,48.95,-108.283
99.9,WIZU-LP,FL,NEWARK COMMUNITY RADIO INC,,39.66,-75.76,,0.09,0,85.06,-134.395
100.1,W261AE,FX,"PETER AND JOHN RADIO FELLOWSHIP, INC.",,39.10,-75.68,,0.25,0,72.79,-127.867
100.1,W261AE,FX,"PETER AND JOHN RADIO FELLOWSHIP, INC.",,39.12,-75.54,,0.17,0,80.31,-130.717
100.1,W261CD,FX,"SHAMROCK COMMUNICATIONS, INC.",,39.29,-76.61,,0,0,34.09,-139.776
100.3,W262AQ,FX,"SPANISH AMERICAN CIVIC ASSOCIATION FOR EQUALITY, INC.",,39.97,-76.62,,0.02,0,76.47,-139.665
100.3,W262BF,FX,"THE VOICE RADIO, LLC",,38.71,-75.40,,0.25,0,87.46,-130.077
100.3,W262CW,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,40.19,-76.87,,0.25,0,89.42,-130.342
100.3,W262DL,FX,"SHIPPENSBURG BROADCASTING, INC.",,39.96,-77.48,,0.25,0,77.3,-128.603
100.3,WBIG-FM,FM,"AMFM RADIO LICENSES, L.L.C.",(918) 664-4581,38.89,-77.20,Language: English,50,0,10.44,-81.676
100.5,W263CQ,FX,"IMPERIAL BROADCASTING COMPANY, LLC",,39.53,-75.82,,0.1,0,77.15,-132.62
100.5,W263CR,FX,MANNING BROADCASTING INC.,,39.63,-77.71,,0.25,0,62.6,-126.101
100.5,W263CW,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,38.90,-75.85,,0.25,0,62.29,-126.041
100.5,W263DB,FX,"CAPSTAR TX, LLC",,40.04,-76.31,,0.25,0,86.97,-130.027
100.5,WRBY-LP,FL,REBIRTH INC.,(443) 497-3442,38.37,-75.61,Language: English,0.1,0,84.35,-133.641
100.7,W264DB,FX,NEWCOMB BROADCASTING CORPORATION,,38.88,-77.17,,0.1,0,8.95,-106.873
100.7,W264DR,FX,"SOMAR COMMUNICATIONS, INC.",,38.28,-76.56,,0.25,0,49.33,-123.273
100.7,WZBA,FM,"SHAMROCK COMMUNICATIONS, INC.",(570) 750-1330,39.45,-76.78,Language: English,25,0,39.55,-100.635
100.9,W265BG,FX,"PRIORITY RADIO, INC.",,39.59,-75.80,,0.25,0,80.62,-129.156
100.9,W265DU,FX,HJV LIMITED PARTNERSHIP,,39.70,-77.51,,0.25,0,61.14,-125.853
100.9,WAAI,FM,"WBOC, INC.",(302) 448-1513,38.62,-75.89,,1.3,0,63.37,-119.122
101.1,WWDC,FM,"AMFM RADIO LICENSES, L.L.C.",(918) 664-4581,39.00,-77.06,Language: English,22.5,0,7.17,-80.735
101.3,W267AK,FX,"BIBLE BROADCASTING NETWORK, INC.",,39.17,-78.12,,0.25,0,62.59,-126.167
101.3,WCHK-FM,FM,"FM RADIO LICENSES, LLC",(302) 740-4720,38.86,-75.48,Language: English,6,0,82.18,-115.618
101.3,WROZ,FM,"HALL COMMUNICATIONS, INC.",(717) 653-0800,40.03,-76.62,EAS type: LP-1,7.4,0,80.94,-114.526
101.5,W268BA,FX,HEARST STATIONS INC.,,39.33,-76.65,,0.14,0,35.46,-122.042
101.5,WBHB-FM,FM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.83,-77.55,,50,0,70.33,-104.566
101.5,WBQB,FM,"CENTENNIAL LICENSING II, LLC",(304) 283-6692,38.33,-77.39,EAS type: LP-2; Language: English,50,0,44.67,-99.146
101.5,WHCP-LP,FL,"CAMBRIDGE COMMUNITY RADIO, INC.",(202) 744-7655,38.58,-76.07,Language: English,0.09,0,55.19,-129.12
101.7,W269DH,FX,1520 RADIO ASIA LLC,,39.04,-77.60,,0.22,0,33.02,-119.119
101.7,WKWI,FM,"TWO RIVERS COMMUNICATIONS, INC.",(804) 436-2484,37.72,-76.39,Language: English,2.2,0,88.2,-120.853
101.9,WLIF,FM,"ENTERCOM LICENSE, LLC",(410) 868-5939,39.42,-76.55,,13.5,0,43.14,-104.451
102.1,W271BR,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,39.18,-78.26,,0.1,0,70.11,-131.615
102.1,W271BV,FX,"MANNING BROADCASTING, INC",,39.63,-77.71,,0.25,0,62.6,-126.238
102.1,W271CX,FX,"FM RADIO LICENSES, LLC",(302) 740-4720,38.86,-75.48,Language: English,0.25,0,82.18,-129.488
102.1,W271CX,FX,"FM RADIO LICENSES, LLC",(302) 740-4720,38.93,-75.49,Language: English,0.25,0,81.78,-129.429
102.1,WMJS-LP,FL,ST. PAUL'S PARISH/ST. PAUL'S EPISCOPAL CHURCH,(301) 832-1008,38.54,-76.59,Language: English,0.08,0,34.04,-123.801
102.3,W272BJ,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.23,-76.09,,0,0,54.19,-142.947
102.3,W272BJ,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.34,-76.67,,0.1,0,35.21,-123.406
102.3,W272CX,FX,"HILLTOP COMMUNICATIONS, LLC",,39.58,-77.02,,0.2,0,46.61,-123.595
102.3,WMMJ,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.94,-77.09,Language: English,2.9,0,5.07,-85.599
102.5,W273BP,FX,"CEDAR RIDGE CHILDREN'S HOME & SCHOOL, INC.",,40.12,-77.46,,0.06,0,87.63,-136.865
102.5,WUSQ-FM,FM,"CAPSTAR TX, LLC",(918) 664-4581,39.18,-78.26,Language: English,32,0,70.11,-106.553
102.7,WLMP-LP,FL,CALVARY CHAPEL OF FREDERICKSBURG,(540) 903-3989,38.31,-77.44,Language: English,0.01,0,47.03,-135.391
102.7,WLMP-LP,FL,CALVARY CHAPEL OF FREDERICKSBURG,(540) 903-3989,38.31,-77.44,Language: English,0.01,0,47.02,-135.388
102.7,WQSR,FM,"CITICASTERS LICENSES, INC.",(918) 664-4581,39.39,-76.73,EAS type: BSPP; Language: English,50,0,36.56,-96.856
102.9,W275BO,FX,"METRO RADIO, INC.",,38.95,-77.35,,0.05,0,18.93,-119.012
102.9,W275BQ,FX,"STU-COMM, INC.",,37.75,-77.50,,0.25,0,84.3,-129.86
102.9,W275BV,FX,CITY COMMONS LLC VA SERIES A,(609) 670-3379,39.18,-78.39,Language: English,0.25,0,76.6,-128.716
102.9,W275CX,FX,"THE VOICE RADIO, LLC",,38.36,-75.62,,0.25,0,84.03,-129.822
102.9,WKIK-FM,FM,"SOMAR COMMUNICATIONS, INC.",,38.37,-76.61,,4,0,42.71,-109.699
102.9,WRZO-LP,FL,DACK INC.,(717) 267-1270,39.91,-77.63,Language: English,0.1,0,77.34,-132.81
103.1,W276DT,FX,LA PROMESA FOUNDATION,,38.87,-77.23,,0.1,0,12.2,-110.769
103.1,WAFY,FM,MANNING BROADCASTING INC.,(240) 217-3612,39.42,-77.50,EAS type: LP-2; Language: English,1,0,44.33,-116.181
103.1,WJMA,FM,"PIEDMONT COMMUNICATIONS, INC.",(434) 825-9882,38.48,-77.99,"EAS type: SR, LP-1; Language: English",6,0,60.38,-112.09
103.1,WRNR-FM,FM,"EMPIRE BROADCASTING SYSTEM, INC.",(302) 448-1513,38.94,-76.18,Language: English,6,0,44.73,-108.505
103.3,W277AH,FX,EDUCATIONAL MEDIA FOUNDATION,,39.16,-75.54,,0.08,0,81.13,-134.385
103.3,WARM-FM,FM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,40.03,-76.60,EAS type: LP-1; Language: English,6.4,0,80.73,-115.294
103.3,WTCF,FM,EDUCATIONAL MEDIA FOUNDATION,(916) 251-1767,39.18,-78.39,,0.35,0,76.69,-127.303
103.5,WTOP-FM,FM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,38.94,-77.09,EAS type: LP-1; Language: English,44,0,5.07,-73.89
103.7,W279CV,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,39.18,-78.26,,0.01,0,70.11,-141.706
103.7,W279EC,FX,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",,40.19,-76.87,,0.13,0,89.44,-133.474
103.7,WEEO-FM,FM,"MAGNUM BROADCASTING, INC.",(814) 730-7452,39.92,-77.96,Language: English,0.14,0,86.85,-132.959
103.7,WXCY,FM,"FM RADIO LICENSES, LLC",(302) 740-4720,39.56,-76.10,"EAS type: SR, LP-1; Language: English",37,0,66.69,-105.426
103.9,WTLP,FM,"WASHINGTON DC FCC LICENSE SUB, LLC",,39.46,-77.49,,0.35,0,46.79,-121.452
103.9,WYFT,FM,"BIBLE BROADCASTING NETWORK, INC.",(704) 523-5555,38.64,-78.40,Language: English,6,0,77.33,-115.111
104.1,WPRS-FM,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.62,-76.84,Language: English,20,0,21.58,-94.658
104.3,W282AW,FX,"ADAMS RADIO OF DELMARVA PENINSULA, LLC",(219) 309-5298,38.39,-75.59,,0.25,0,84.45,-129.999
104.3,W282CR,FX,HAGERSTOWN BROADCASTING COMPANY,,39.67,-77.73,,0.25,0,65.36,-126.938
104.3,WZFT,FM,"CITICASTERS LICENSES, INC.",(918) 664-4581,39.34,-76.65,Language: English,13,0,35.58,-102.514
104.5,W283DG,FX,"WASHINGTON DC FCC LICENSE SUB, LLC",,39.02,-77.43,,0.19,0,24.02,-116.194
104.5,WGRX,FM,"TELEMEDIA BROADCASTING, INC.",(540) 226-5616,38.28,-77.54,Language: English,2.7,0,52.18,-113.931
104.7,W284BE,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.56,-76.10,,0.25,0,66.69,-127.212
104.7,W284BF,FX,WDAC RADIO COMPANY,,39.90,-76.24,,0.2,0,80.01,-130.356
104.7,W284CQ,FX,"AMFM RADIO LICENSES, L.L.C.",,38.89,-77.13,,0.1,0,6.72,-103.82
104.7,W284CQ,FX,"AMFM RADIO LICENSES, L.L.C.",,39.00,-77.06,,0.1,0,7.18,-104.614
104.7,WAYZ,FM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.70,-77.51,EAS type: LP-1,8.3,0,61.14,-110.964
104.7,WYZT-LP,FL,"MARYLAND HALL FOR THE CREATIVE ARTS, INC",(410) 222-5336,38.98,-76.45,Language: English,0.06,0,30.24,-124.186
104.9,W285EJ,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.42,-76.56,,0.01,0,43.04,-135.979
104.9,W285EJ,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.42,-76.55,,0.01,0,43.14,-136.006
104.9,WIGO-FM,FM,"TWO RIVERS COMMUNICATIONS, INC.",(804) 435-1414,37.72,-76.39,Language: English,4.1,0,88.2,-118.419
104.9,WZFC,FM,"CENTENNIAL LICENSING II, LLC",(540) 667-1662,39.02,-78.43,Language: English,4.1,0,76.69,-116.749
105.1,W286BS,FX,"EKO MEDIA GROUP, INC.",,39.19,-75.54,,0.25,0,81.15,-129.589
105.1,WAVA-FM,FM,SALEM COMMUNICATIONS HOLDING CORPORATION,(703) 807-2266,38.89,-77.13,Language: English,33,0,6.71,-78.62
105.3,W287DN,FX,"WBOC, INC.",,38.58,-76.08,,0.25,0,54.64,-124.882
105.5,W288BS,FX,"RESTON TRANSLATOR, LLC",,38.96,-77.10,,0.1,0,6.68,-103.828
105.5,WLSW,FM,EDUCATIONAL MEDIA FOUNDATION,(916) 251-1767,38.41,-75.60,,2.1,0,83.49,-120.718
105.5,WOJL,FM,"PIEDMONT COMMUNICATIONS, INC.",(434) 825-9882,38.03,-78.02,Language: English,6,0,81.65,-115.893
105.5,WRAR-FM,FM,"REAL MEDIA, INC.",(804) 445-5409,37.87,-76.73,Language: English,6,0,72.8,-114.523
105.5,WXBN,FM,"CENTENNIAL LICENSING II, LLC",(540) 550-1662,39.12,-77.97,Language: English,3,0,53.91,-113.945
105.7,WJZ-FM,FM,"ENTERCOM LICENSE, LLC",(410) 868-5939,39.32,-76.55,,50,0,38.12,-97.605
105.7,WQXA-FM,FM,"RADIO LICENSE HOLDING CBC, LLC",(717) 629-9523,40.00,-76.69,Language: English,25,0,77.59,-109.103
105.9,WMAL-FM,FM,RADIO LICENSE HOLDINGS LLC,(202) 895-2318,38.87,-77.22,"EAS type: SR, LP-2; Language: English",28,0,11.76,-86.091
106.1,W291BA,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.33,-76.65,,0.25,0,35.46,-119.785
106.1,W291BC,FX,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.80,-77.61,,0.17,0,69.9,-129.564
106.1,WYCO-LP,FL,FIRST SAINT JOHN'S,(717) 848-5010,39.96,-76.73,Language: English,0.1,0,74.56,-132.639
106.3,W292BC,FX,"METRO RADIO, INC.",,38.85,-77.37,,0.08,0,20.01,-117.913
106.3,W292CI,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,38.93,-78.03,,0.01,0,55,-139.022
106.3,W292EF,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,38.27,-77.50,,0.07,0,51,-129.369
106.3,W292ET,FX,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,,40.02,-76.34,,0.08,0,84.92,-135.178
106.3,W292FR,FX,"MANNING BROADCASTING, INC.",,39.49,-77.50,,0.1,0,48.67,-127.561
106.3,WCEM-FM,FM,"WBOC, INC.",(302) 448-1513,38.55,-76.10,EAS type: LP-3; Language: English,4.8,0,54.89,-112.186
106.3,WCEM-FM,FM,"WBOC, INC.",(302) 448-1513,38.58,-76.08,EAS type: LP-3; Language: English,6,0,54.64,-111.162
106.3,WJPN-LP,FL,POPE JOHN PAUL THE GREAT HIGH SCHOOL,,38.57,-77.28,,0.04,0,27.52,-125.191
106.5,W293AM,FX,"SHENANDOAH COMMUNICATIONS, INC.",,39.45,-78.07,,0.1,0,68.29,-131.537
106.5,WWMX,FM,"ENTERCOM LICENSE, LLC",(410) 868-5939,39.33,-76.65,,10.3,0,35.46,-103.666
106.5,WWMX,FM,"ENTERCOM LICENSE, LLC",(410) 868-5939,39.33,-76.65,,11,0,35.46,-103.381
106.7,W294BN,FX,"PRIORITY RADIO, INC.",,39.19,-75.54,,0.06,0,81.16,-136.297
106.7,W294CH,FX,"THE VOICE RADIO, LLC",,38.50,-75.66,,0.25,0,77.8,-129.216
106.7,WJFK-FM,FM,"ENTERCOM LICENSE, LLC",(240) 997-3955,38.87,-77.22,,20,0,11.77,-87.632
106.9,W295BX,FX,"FAMILY STATIONS, INC.",,39.31,-76.49,,0.25,0,39.57,-121.16
106.9,W295BX,FX,"FAMILY STATIONS, INC.",,39.31,-76.49,,0.11,0,39.58,-124.727
106.9,W295CJ,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.23,-76.09,,0.05,0,54.19,-131.903
106.9,WWEG,FM,MANNING BROADCASTING INC.,(240) 217-3612,39.50,-77.61,Language: English,15.5,0,52.39,-106.586
107.1,W296EA,FX,RADIO LICENSE HOLDING SRC LLC,,40.00,-76.70,,0.25,0,77.59,-129.216
107.1,WTDK,FM,"WBOC, INC.",(302) 448-1513,38.77,-75.75,Language: English,3.9,0,68.65,-115.823
107.3,WBYC-LP,FL,THE SOMERSET COUNTY ARTS COUNCIL,(302) 249-6222,37.98,-75.86,Language: English,0.05,0,89.23,-138.07
107.3,WLVW,FM,EDUCATIONAL MEDIA FOUNDATION,(202) 895-2318,38.95,-77.08,Language: English,19.5,0,5.04,-77.649
107.3,WMVK-LP,FL,"STATE OF MARYLAND, MDOT, MARYLAND TRANSIT ADMN.",,39.59,-76.07,,0.01,0,68.98,-142.776
107.5,W298CG,FX,"IMPERIAL BROADCASTING COMPANY, LLC",,39.53,-76.35,,0.25,0,56.17,-125.392
107.5,WNNT-FM,FM,"REAL MEDIA, INC.",(804) 445-5409,37.94,-76.75,Language: English,6,0,67.79,-113.834
107.7,WGTY,FM,"FM RADIO LICENSES, LLC",(717) 515-0607,39.86,-76.95,EAS type: LP-2; Language: English,16,0,65.99,-109.27
107.7,WWWT-FM,FM,"WASHINGTON DC FCC LICENSE SUB, LLC",,38.74,-77.84,,29,0,45.97,-102.369
107.9,WDTF-LP,FL,"DEFENDERS OF THE FAITH, INC.",(703) 568-0449,39.62,-78.22,Language: English,0.1,0,81.39,-133.832
107.9,WLZL,FM,"ENTERCOM LICENSE, LLC",(240) 997-3955,39.00,-76.66,,49,0,19.95,-90.136
162.4,KEC   83,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,39.39,-76.73,,12589.25,1000,36.55,-76.822
162.4,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.826
162.4,WXM   57,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,37.91,-76.49,,12589.25,1000,74.56,-85.337
162.425,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.827
162.425,WZ  2527,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,38.31,-77.48,,1503.56,300,48.36,-89.396
162.45,WNG  736,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,38.96,-77.03,,1892.87,300,4.19,-59.174
162.45,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.829
162.475,KEC   92,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,38.50,-75.64,,12589.25,1000,78.67,-85.981
162.475,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.83
162.475,WXM   42,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,39.65,-77.97,,12589.25,1000,73.01,-85.09
162.5,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.831
162.5,WXK   97,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,39.18,-75.92,,6309.57,1000,61.48,-86.037
162.525,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.833
162.55,KHB   36,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(631) 244-0139,38.63,-77.44,,7943.28,1000,30.04,-76.489
162.55,WWF   30,GV,"Commerce, Department of/National Weather Service [C   /NWS]",(301) 427-9691,38.99,-77.03,,3981.07,1000,6.3,-60.834
174,WJLA-TV,DTV,"ACC LICENSEE, LLC",(410) 487-3492,38.95,-77.08,[RFCh]/ViCh: [7]/7,52,0,5.03,-77.579
,,,,,,,,,,,
